"","Month","Year","Commodity","val","Date"
"245",3,2002," Manmade Staple Fibers, Incl Yarns & Woven Fabrics",10597052,2002-03-01
"246",3,2002," Wadding, Felt Etc; Sp Yarn; Twine, Ropes Etc.",2370969,2002-03-01
"247",3,2002," Carpets And Other Textile Floor Coverings",263326,2002-03-01
"248",3,2002," Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc",1391575,2002-03-01
"249",3,2002," Impregnated Etc Text Fabrics; Tex Art For Industry",1935798,2002-03-01
"250",3,2002," Knitted Or Crocheted Fabrics",677430,2002-03-01
"251",3,2002," Apparel Articles And Accessories, Knit Or Crochet",518635,2002-03-01
"252",3,2002," Apparel Articles And Accessories, Not Knit Etc.",2789483,2002-03-01
"253",3,2002," Textile Art Nesoi; Needlecraft Sets; Worn Text Art",556082,2002-03-01
"254",3,2002," Footwear, Gaiters Etc. And Parts Thereof",3465209,2002-03-01
"255",3,2002," Headgear And Parts Thereof",31180,2002-03-01
"256",3,2002," Umbrellas, Walking-sticks, Riding-crops Etc, Parts",9733,2002-03-01
"257",3,2002," Prep Feathers, Down Etc; Artif Flowers; H Hair Art",195079,2002-03-01
"258",3,2002," Art Of Stone, Plaster, Cement, Asbestos, Mica Etc.",2060297,2002-03-01
"259",3,2002," Ceramic Products",1655032,2002-03-01
"260",3,2002," Glass And Glassware",4490232,2002-03-01
"261",3,2002," Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin",5380504,2002-03-01
"262",3,2002," Iron And Steel",31055125,2002-03-01
"263",3,2002," Articles Of Iron Or Steel",6785583,2002-03-01
"264",3,2002," Copper And Articles Thereof",22873381,2002-03-01
"265",3,2002," Nickel And Articles Thereof",2096564,2002-03-01
"266",3,2002," Aluminum And Articles Thereof",23779336,2002-03-01
"267",3,2002," Lead And Articles Thereof",1203681,2002-03-01
"268",3,2002," Zinc And Articles Thereof",1066222,2002-03-01
"269",3,2002," Tin And Articles Thereof",597902,2002-03-01
"270",3,2002," Base Metals Nesoi; Cermets; Articles Thereof",1851467,2002-03-01
"271",3,2002," Tools, Cutlery Etc. Of Base Metal & Parts Thereof",5268177,2002-03-01
"272",3,2002," Miscellaneous Articles Of Base Metal",1858012,2002-03-01
"273",3,2002," Nuclear Reactors, Boilers, Machinery Etc.; Parts",307947494,2002-03-01
"274",3,2002," Electric Machinery Etc; Sound Equip; Tv Equip; Pts",298939266,2002-03-01
"275",3,2002," Railway Or Tramway Stock Etc; Traffic Signal Equip",1000874,2002-03-01
"276",3,2002," Vehicles, Except Railway Or Tramway, And Parts Etc",19735297,2002-03-01
"277",3,2002," Aircraft, Spacecraft, And Parts Thereof",296277374,2002-03-01
"278",3,2002," Ships, Boats And Floating Structures",183637,2002-03-01
"279",3,2002," Optic, Photo Etc, Medic Or Surgical Instrments Etc",107693524,2002-03-01
"280",3,2002," Clocks And Watches And Parts Thereof",726242,2002-03-01
"281",3,2002," Musical Instruments; Parts And Accessories Thereof",447537,2002-03-01
"282",3,2002," Arms And Ammunition; Parts And Accessories Thereof",64289,2002-03-01
"283",3,2002," Furniture; Bedding Etc; Lamps Nesoi Etc; Prefab Bd",6062547,2002-03-01
"284",3,2002," Toys, Games & Sport Equipment; Parts & Accessories",2367234,2002-03-01
"285",3,2002," Miscellaneous Manufactured Articles",877332,2002-03-01
"286",3,2002," Works Of Art, Collectors' Pieces And Antiques",1116055,2002-03-01
"287",3,2002," Special Classification Provisions, Nesoi",16415145,2002-03-01
"288",4,2002," Live Animals",1769671,2002-04-01
"289",4,2002," Meat And Edible Meat Offal",5562193,2002-04-01
"290",4,2002," Fish, Crustaceans & Aquatic Invertebrates",10950863,2002-04-01
"291",4,2002," Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi",2093164,2002-04-01
"292",4,2002," Products Of Animal Origin, Nesoi",3759220,2002-04-01
"293",4,2002," Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",116906,2002-04-01
"294",4,2002," Edible Vegetables & Certain Roots & Tubers",204300,2002-04-01
"295",4,2002," Edible Fruit & Nuts; Citrus Fruit Or Melon Peel",3083243,2002-04-01
"296",4,2002," Coffee, Tea, Mate & Spices",56729,2002-04-01
"297",4,2002," Cereals",7750646,2002-04-01
"298",4,2002," Milling Products; Malt; Starch; Inulin; Wht Gluten",71688,2002-04-01
"299",4,2002," Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",2919554,2002-04-01
"300",4,2002," Lac; Gums, Resins & Other Vegetable Sap & Extract",471146,2002-04-01
"301",4,2002," Vegetable Plaiting Materials & Products Nesoi",670519,2002-04-01
"302",4,2002," Animal Or Vegetable Fats, Oils Etc. & Waxes",1808924,2002-04-01
"303",4,2002," Edible Preparations Of Meat, Fish, Crustaceans Etc",3780440,2002-04-01
"304",4,2002," Sugars And Sugar Confectionary",463006,2002-04-01
"305",4,2002," Cocoa And Cocoa Preparations",705135,2002-04-01
"306",4,2002," Prep Cereal, Flour, Starch Or Milk; Bakers Wares",1503967,2002-04-01
"307",4,2002," Prep Vegetables, Fruit, Nuts Or Other Plant Parts",3564117,2002-04-01
"308",4,2002," Miscellaneous Edible Preparations",2867341,2002-04-01
"309",4,2002," Beverages, Spirits And Vinegar",1300992,2002-04-01
"310",4,2002," Food Industry Residues & Waste; Prep Animal Feed",8280500,2002-04-01
"311",4,2002," Salt; Sulfur; Earth & Stone; Lime & Cement Plaster",3332253,2002-04-01
"312",4,2002," Ores, Slag And Ash",2023609,2002-04-01
"313",4,2002," Mineral Fuel, Oil Etc.; Bitumin Subst; Mineral Wax",13332884,2002-04-01
"314",4,2002," Inorg Chem; Prec & Rare-earth Met & Radioact Compd",12699378,2002-04-01
"315",4,2002," Organic Chemicals",61654667,2002-04-01
"316",4,2002," Pharmaceutical Products",5466545,2002-04-01
"317",4,2002," Fertilizers",16964370,2002-04-01
"318",4,2002," Tanning & Dye Ext Etc; Dye, Paint, Putty Etc; Inks",9233184,2002-04-01
"319",4,2002," Essential Oils Etc; Perfumery, Cosmetic Etc Preps",3588136,2002-04-01
"320",4,2002," Soap Etc; Waxes, Polish Etc; Candles; Dental Preps",9037535,2002-04-01
"321",4,2002," Albuminoidal Subst; Modified Starch; Glue; Enzymes",2589962,2002-04-01
"322",4,2002," Explosives; Pyrotechnics; Matches; Pyro Alloys Etc",117738,2002-04-01
"323",4,2002," Photographic Or Cinematographic Goods",6678446,2002-04-01
"324",4,2002," Miscellaneous Chemical Products",21432677,2002-04-01
"325",4,2002," Plastics And Articles Thereof",85314455,2002-04-01
"326",4,2002," Rubber And Articles Thereof",10362090,2002-04-01
"327",4,2002," Raw Hides And Skins (no Furskins) And Leather",31493511,2002-04-01
"328",4,2002," Leather Art; Saddlery Etc; Handbags Etc; Gut Art",1468638,2002-04-01
"329",4,2002," Furskins And Artificial Fur; Manufactures Thereof",146015,2002-04-01
"330",4,2002," Wood And Articles Of Wood; Wood Charcoal",21305702,2002-04-01
"331",4,2002," Cork And Articles Of Cork",112464,2002-04-01
"332",4,2002," Mfr Of Straw, Esparto Etc.; Basketware & Wickerwrk",217272,2002-04-01
"333",4,2002," Wood Pulp Etc; Recovd (waste & Scrap) ppr & pprbd",33267306,2002-04-01
"334",4,2002," Paper & Paperboard & Articles (inc Papr Pulp Artl)",37093761,2002-04-01
"335",4,2002," Printed Books, Newspapers Etc; Manuscripts Etc",8570240,2002-04-01
"336",4,2002," Silk, Including Yarns And Woven Fabric Thereof",406755,2002-04-01
"337",4,2002," Wool & Animal Hair, Including Yarn & Woven Fabric",32637,2002-04-01
"338",4,2002," Cotton, Including Yarn And Woven Fabric Thereof",5640246,2002-04-01
"339",4,2002," Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab",60267,2002-04-01
"340",4,2002," Manmade Filaments, Including Yarns & Woven Fabrics",4484040,2002-04-01
"341",4,2002," Manmade Staple Fibers, Incl Yarns & Woven Fabrics",13226623,2002-04-01
