"","main","print_headline","web_url","snippet","lead_paragraph","abstract","pub_date"
"16","Alarm Over Trump’s Trade War With China","Alarm Over the Trade War With China","https://www.nytimes.com/2019/08/26/opinion/letters/trump-trade-china-g7-summit-meeting.html","Readers worry that the president is putting the American and world economies in jeopardy with tariffs and orders to cut ties.","To the Editor:","Readers worry that the president is putting the American and world economies in jeopardy with tariffs and orders to cut ties.","2019-08-26T19:42:06+0000"
"17","Business Groups Warn of Peril as Trump’s Trade War Spirals","Business Groups Sound an Alarm as Trump’s Trade War Spirals","https://www.nytimes.com/2019/08/25/business/trump-trade-war-businesses.html","After the latest escalation, a wide array of business leaders raised the alarm on the likely costs for workers and consumers.","The latest whipsawing escalations in the United States’ trade war with China prompted a wide array of business organizations to warn over the weekend that American consumers and workers would soon be caught in the crossfire.","After the latest escalation, a wide array of business leaders raised the alarm on the likely costs for workers and consumers.","2019-08-25T23:08:07+0000"
"18","Trump’s Trade War Washes Up on Australia’s Shore","Trump’s Trade War Washes Up on Australia’s Economically Buoyant Shore","https://www.nytimes.com/2019/08/28/business/trump-trade-war-australia.html","Australia’s economy is not taking a direct hit from the trade wars, but its central bank is reacting — a sign of how interlinked the world has become.","WASHINGTON — Australia’s economy is experiencing its 28th year of a record-shattering expansion, with strong employment growth and high economic potential.","Australia’s economy is not taking a direct hit from the trade wars, but its central bank is reacting — a sign of how interlinked the world has become.","2019-08-28T16:53:43+0000"
"19","China, Locked in Trade War With U.S., Agrees to Tackle India's Trade Deficit","China, Locked in Trade War With U.S., Agrees to Tackle India's Trade Deficit","https://www.nytimes.com/reuters/2019/10/12/world/asia/12reuters-india-china.html","Chinese President Xi Jinping and Indian Prime Minister Narendra Modi agreed at a summit on Saturday to set up a high-level group to tackle India's galloping trade deficit with the world's second-biggest economy, a top Indian diplomat said.","MAMALLAPURAM, India, — Chinese President Xi Jinping and Indian Prime Minister Narendra Modi agreed at a summit on Saturday to set up a high-level group to tackle India's galloping trade deficit with the world's second-biggest economy, a top Indian diplomat said.","Chinese President Xi Jinping and Indian Prime Minister Narendra Modi agreed at a summit on Saturday to set up a high-level group to tackle India's galloping trade deficit with the world's second-biggest economy, a top Indian diplomat said.","2019-10-12T23:09:57+0000"
"20","President Trump’s Fruitless Trade War","President Trump’s Fruitless Trade War","https://www.nytimes.com/2019/08/06/opinion/china-currency.html","The Trump administration continues to escalate its confrontation with China, but there is no clear goal — and no end in sight.","President Trump told the American people that confronting China would be quick and painless and would result in clear gains for the American economy, a philosophy summarized most famously in his Twitter boast: “Trade wars are good, and easy to win.” ","The Trump administration continues to escalate its confrontation with China, but there is no clear goal — and no end in sight.","2019-08-06T23:43:20+0000"
"21","3 Countries Cut Rates as World Braces for More Trade War Turbulence","Cutting Rates, 3 Countries Take Cover in Trade War","https://www.nytimes.com/2019/08/07/business/interest-rates-india-thailand-new-zealand.html","Central banks in India, Thailand and New Zealand cut interest rates in what one analyst called “defensive action” amid fears of worsening U.S.-China tensions.","Central banks in India, Thailand and New Zealand moved to shore up their economies on Wednesday amid fears that global growth will become the biggest casualty in the spiraling trade war between the United States and China.","Central banks in India, Thailand and New Zealand cut interest rates in what one analyst called “defensive action” amid fears of worsening U.S.-China tensions.","2019-08-07T14:31:13+0000"
"22","In Trade War, China’s Hard-Line Stance Risks Economy","In Trade War, Hard-Line Stance by Xi Risks the Economy","https://www.nytimes.com/2019/08/06/world/asia/china-xi-jingping-trade.html","The Chinese leader, Xi Jinping, wants to appear strong in the face of President Trump, even if it means enduring the economic fallout.","BEIJING — China’s leader sent a strong message: the Chinese currency could be used as a weapon in the trade war.","The Chinese leader, Xi Jinping, wants to appear strong in the face of President Trump, even if it means enduring the economic fallout.","2019-08-06T16:08:54+0000"
"23","Choke Point: Vietnam Skilled Labor Squeezed by Sino-U.S. Trade War","Choke Point: Vietnam Skilled Labor Squeezed by Sino-U.S. Trade War","https://www.nytimes.com/reuters/2019/10/11/world/asia/10reuters-vietnam-labour.html","A new front has opened in the U.S.-China trade war as companies shifting manufacturing to Vietnam engage in a fierce battle for skilled labor, aggravating an existing shortage and prompting calls for education reforms to address the problem. ","HO CHI MINH CITY/HANOI — A new front has opened in the U.S.-China trade war as companies shifting manufacturing to Vietnam engage in a fierce battle for skilled labor, aggravating an existing shortage and prompting calls for education reforms to address the problem. ","A new front has opened in the U.S.-China trade war as companies shifting manufacturing to Vietnam engage in a fierce battle for skilled labor, aggravating an existing shortage and prompting calls for education reforms to address the problem. ","2019-10-11T23:21:43+0000"
"24","Choke Point: Vietnam Skilled Labour Squeezed by Sino-U.S. Trade War","Choke Point: Vietnam Skilled Labour Squeezed by Sino-U.S. Trade War","https://www.nytimes.com/reuters/2019/10/11/business/10reuters-vietnam-labour.html","A new front has opened in the U.S.-China trade war as companies shifting manufacturing to Vietnam engage in a fierce battle for skilled labour, aggravating an existing shortage and prompting calls for education reforms to address the problem. ","HO CHI MINH CITY/HANOI — A new front has opened in the U.S.-China trade war as companies shifting manufacturing to Vietnam engage in a fierce battle for skilled labour, aggravating an existing shortage and prompting calls for education reforms to address the problem. ","A new front has opened in the U.S.-China trade war as companies shifting manufacturing to Vietnam engage in a fierce battle for skilled labour, aggravating an existing shortage and prompting calls for education reforms to address the problem. ","2019-10-11T17:27:52+0000"
"25","How the U.S.-China Trade War Hurts the Rest of the World",NA,"https://www.nytimes.com/2019/08/27/podcasts/the-daily/trump-china-trade-war-g7.html","As the two largest economies on earth battle over trade, the fortunes of much of the globe hang in the balance.","Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via RadioPublic | Via Stitcher","As the two largest economies on earth battle over trade, the fortunes of much of the globe hang in the balance.","2019-08-27T10:00:05+0000"
"26","As Trump Escalates Trade War, U.S. and China Move Further Apart With No End in Sight","A Trade War’s Punitive Turn Puts U.S.-China Ties ‘in Free Fall’","https://www.nytimes.com/2019/09/01/world/asia/trump-trade-war-china.html","The standoff is upending the relationship between the world’s two largest economies.","WASHINGTON — President Trump’s trade war with China entered new territory on Sunday as his next round of tariffs took effect, changing the rules of trade in ways that have no recent historic precedent and driving the world’s two largest economies further apart.","The standoff is upending the relationship between the world’s two largest economies.","2019-09-01T04:01:05+0000"
"27","How Much Will the Trade War Cost You by the End of the Year?",NA,"https://www.nytimes.com/interactive/2019/business/economy/trade-war-costs.html","About $460 for the average family, according to a new economic analysis.","About $460 for the average family, according to a new economic analysis.","About $460 for the average family, according to a new economic analysis.","2019-09-01T04:01:01+0000"
"28","Heroes of the Great Patriotic Trade War",NA,"https://www.nytimes.com/2019/06/09/opinion/heroes-of-the-great-patriotic-trade-war.html","People can’t take America seriously anymore.","I’d like to make an important announcement to New York retailers: NEW JERSEY HAS AGREED TO IMMEDIATELY BEGIN BUYING LARGE QUANTITIES OF WHITEFISH SALAD FROM OUR GREAT PATRIOT GOURMET MARKETS.","People can’t take America seriously anymore.","2019-06-09T14:51:42+0000"
"29","China's Yuan to Slip to New Decade Lows as Trade War Drags On: Reuters Poll","China's Yuan to Slip to New Decade Lows as Trade War Drags On: Reuters Poll","https://www.nytimes.com/reuters/2019/10/04/business/03reuters-forex-poll-yuan.html","The Chinese yuan will slip by year-end to deeper lows last hit against the U.S. dollar during the 2008 global financial crisis as the authorities nudge the partly managed currency down while the U.S.-China trade war rumbles on, a Reuters poll show...","BENGALURU — The Chinese yuan will slip by year-end to deeper lows last hit against the U.S. dollar during the 2008 global financial crisis as the authorities nudge the partly managed currency down while the U.S.-China trade war rumbles on, a Reuters poll showed.","The Chinese yuan will slip by year-end to deeper lows last hit against the U.S. dollar during the 2008 global financial crisis as the authorities nudge the partly managed currency down while the U.S.-China trade war rumbles on, a Reuters poll showed.","2019-10-04T05:03:46+0000"
"30","Chip Makers Are Punished as the Trade War Drags On","Trade War Lashes Chip Makers","https://www.nytimes.com/2019/05/23/business/dealbook/semiconductor-stocks-trade-war.html","Shares of Qualcomm, Nvidia and other American chip makers have tumbled as the companies find themselves at the center of the dispute between the U.S. and China.","Get the DealBook newsletter to make sense of major business and policy headlines — and the power-brokers who shape them.__________","Shares of Qualcomm, Nvidia and other American chip makers have tumbled as the companies find themselves at the center of the dispute between the U.S. and China.","2019-05-23T17:48:45+0000"
"31","On Politics: Trump Pivots on Trade War, Again","Morning Edition","https://www.nytimes.com/2019/08/27/us/politics/trump-trade-war.html","Concluding a head-spinning summit, President Trump left France with a fragile consensus to seek resolution on several economic crises.","Good Tuesday morning. Here are some of the stories making news in Washington and politics today.","Concluding a head-spinning summit, President Trump left France with a fragile consensus to seek resolution on several economic crises.","2019-08-27T05:10:12+0000"
"32","Lawsuit Over Computer Chips Invokes Trade War With China","U.S. Chip Maker Sues a Taiwanese Rival on Patents, Citing Trade War Issues","https://www.nytimes.com/2019/08/26/technology/globalfoundries-tsmc-lawsuit-computer-chips.html","Globalfoundries has accused T.S.M.C., a competitor in Taiwan, of infringing on 16 patents in a suit that could also affect companies like Apple and Google.","SAN FRANCISCO — One of the biggest semiconductor makers in the United States on Monday initiated a broad legal attack on Taiwan’s dominant chip manufacturer, the latest twist in a complex geopolitical battle over electronic components that could affect big chip users like Apple and Google.","Globalfoundries has accused T.S.M.C., a competitor in Taiwan, of infringing on 16 patents in a suit that could also affect companies like Apple and Google.","2019-08-26T21:43:05+0000"
"33","Caught in the Middle of the Trade War",NA,"https://www.nytimes.com/2019/05/16/podcasts/the-daily/trump-tariffs-china-trade-war.html","We talked to a farmer and a truck manufacturer who have supported President Trump about how his tariffs affect their businesses.","Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via RadioPublic | Via Stitcher","We talked to a farmer and a truck manufacturer who have supported President Trump about how his tariffs affect their businesses.","2019-05-16T10:00:09+0000"
"34","Who Will Survive the Trade War?","Who Will Survive the Trade War?","https://www.nytimes.com/2019/06/06/opinion/trump-trade-war.html","History shows that big businesses profit most when tariffs reign.","America is entering a new era of tariffs. President Trump is in no hurry to resolve the trade dispute with China, he is adamant about imposing tariffs on Mexico, and farmers and companies are trying to figure how to withstand them for months or years, not weeks. ","History shows that big businesses profit most when tariffs reign.","2019-06-06T15:08:25+0000"
"35","China’s Economic Growth Hits 27-Year Low as Trade War Stings","China’s Economic Growth Slows as Trade War Stings","https://www.nytimes.com/2019/07/14/business/china-economy-growth-gdp-trade-war.html","Rising tariffs on Chinese goods sold to the U.S. are taking an increasing toll, but the country is also suffering from cracks in its financial system.","BEIJING — China’s growth fell to its slowest pace in nearly three decades, officials disclosed on Monday, as a resurgence of trade tensions with the United States and lingering financial problems take an increasing toll on one of the world’s most vital economic engines.","Rising tariffs on Chinese goods sold to the U.S. are taking an increasing toll, but the country is also suffering from cracks in its financial system.","2019-07-15T02:01:30+0000"
"36","Germany Nears Recession and Chinese Factories Slow in Trade War Fallout",NA,"https://www.nytimes.com/2019/08/14/business/german-economy.html","The German economy shrank in the second quarter and may be headed toward recession. Growth of Chinese factories was the slowest in 17 years.","FRANKFURT — In ominous signs of the damage being done by the trade war between China and the United States, data released on Wednesday indicated that the German economy was hurtling toward recession and that growth at Chinese factories was slowing at a pace not seen in nearly two decades.","The German economy shrank in the second quarter and may be headed toward recession. Growth of Chinese factories was the slowest in 17 years.","2019-08-14T12:12:20+0000"
"37","Trade War Worry Hits Stocks, as Central Banks Cut Rates",NA,"https://www.nytimes.com/2019/08/07/business/stock-market-bond-yields.html","A rush to safer investments pushed government bond yields to lows not seen since 2016.","Trade war worries slammed financial markets again on Wednesday, provoking a rush to the safety of government bonds and another tumble in share prices. ","A rush to safer investments pushed government bond yields to lows not seen since 2016.","2019-08-07T14:09:24+0000"
"38","If You’re an American Farmer, How Has Trump’s Trade War Affected You?",NA,"https://www.nytimes.com/2019/08/28/reader-center/trump-trade-war-china-farmers.html","We would like to hear about the impact that the dispute has had on you and your family.","More than a year after President Trump began a trade war with China, farmers in the United States continue to deal with its fallout. ","We would like to hear about the impact that the dispute has had on you and your family.","2019-08-28T19:52:05+0000"
"39","Chinese Money in the U.S. Dries Up as Trade War Drags On","Trade War Leads  Chinese Spending  In U.S. to Plunge","https://www.nytimes.com/2019/07/21/us/politics/china-investment-trade-war.html","Tougher regulations and uncertainty about tariffs have made America less friendly for foreign investment.","WASHINGTON — Growing distrust between the United States and China has slowed the once steady flow of Chinese cash into America, with Chinese investment plummeting by nearly 90 percent since President Trump took office.","Tougher regulations and uncertainty about tariffs have made America less friendly for foreign investment.","2019-07-21T09:00:06+0000"
"40","U.S.-China Trade War: The Consequences","U.S.-China Trade War: The Consequences","https://www.nytimes.com/2019/05/13/opinion/letters/us-china-trade.html","Readers debate how the battle over tariffs will affect the U.S. economy.","To the Editor:","Readers debate how the battle over tariffs will affect the U.S. economy.","2019-05-13T18:58:12+0000"
"41","Trade War May Be Slowing Business Spending and Factories, Fed Says","Trade War May Be Causing Businesses to Delay Spending, Fed Says","https://www.nytimes.com/2019/07/05/business/economy/fed-powell-monetary-policy.html","A report by Federal Reserve officials said that United States economic activity increased at a “solid pace” in early 2019, but that risks still loomed.","WASHINGTON — Federal Reserve officials worry that the uncertainty caused by the trade war between the United States and China could be constraining business spending and may be contributing to a manufacturing slowdown that is dragging on growth.","A report by Federal Reserve officials said that United States economic activity increased at a “solid pace” in early 2019, but that risks still loomed.","2019-07-05T17:46:59+0000"
"42","Trade War Starts Changing Manufacturers in Hard-to-Reverse Ways","Manufacturers Adapt to Trade War, but the Cost Could Be Steep","https://www.nytimes.com/2019/05/30/business/economy/trump-tariff-manufacturer.html","With no end in sight to the tariff duel with China, American companies are shifting supply chains and making other moves for the long haul.","PORTLAND, Ore. — When the Trump administration first imposed tariffs on $34 billion in Chinese imports in July, Andy LaFrazia figured it was just another curveball for his company.","With no end in sight to the tariff duel with China, American companies are shifting supply chains and making other moves for the long haul.","2019-05-30T16:35:37+0000"
"43","U.S.-China Trade War May Cut Global Growth by Half a Point Next Year: Le Maire","U.S.-China Trade War May Cut Global Growth by Half a Point Next Year: Le Maire","https://www.nytimes.com/reuters/2019/10/09/business/09reuters-oecd-tax-france.html","The trade war between the United States and China could cut global growth by 0.5 points next year, French Finance Minister Bruno Le Maire said on Wednesday.","LUXEMBOURG — The trade war between the United States and China could cut global growth by 0.5 points next year, French Finance Minister Bruno Le Maire said on Wednesday.","The trade war between the United States and China could cut global growth by 0.5 points next year, French Finance Minister Bruno Le Maire said on Wednesday.","2019-10-09T14:55:08+0000"
"44","The Trade War With China Has an Upside for Consumers, Too","The Trade War Is Taking Money From Your Wallet, and Returning Some, Too","https://www.nytimes.com/2019/06/17/business/trump-tariffs-trade-war-china.html","The Trump administration’s tariffs made that washing machine cost more, but gas is cheaper because the markets are jittery about the trade war.","Since the start of the Trump administration’s trade war last year, economists and executives have repeatedly warned that consumers will ultimately end up footing the bill for tariffs through higher prices. ","The Trump administration’s tariffs made that washing machine cost more, but gas is cheaper because the markets are jittery about the trade war.","2019-06-17T13:55:16+0000"
"45","China’s Currency Is Weakening as the Trade War Drags On","As the Renminbi Declines, It’s Not All Beijing’s Doing","https://www.nytimes.com/2019/08/27/business/china-yuan.html","There’s evidence that the government has been trying to prop up the renminbi, not weaken it drastically.","China’s currency weakened by 0.15 percent against the dollar on Tuesday. It was a decline that — on its own — seems unremarkable. ","There’s evidence that the government has been trying to prop up the renminbi, not weaken it drastically.","2019-08-27T23:04:48+0000"
"46","Trade Wars Pose 'Worrisome' Threat to World Economy-BoE's Kohn","Trade Wars Pose 'Worrisome' Threat to World Economy-BoE's Kohn","https://www.nytimes.com/reuters/2019/10/15/business/15reuters-britain-boe-kohn.html","The escalation of trade conflict between the United States and China is ""very worrisome"" for the global outlook and it remains to be seen if it will tip the world economy into recession, Bank of England policymaker Donald Kohn said on Tuesday.","LONDON — The escalation of trade conflict between the United States and China is ""very worrisome"" for the global outlook and it remains to be seen if it will tip the world economy into recession, Bank of England policymaker Donald Kohn said on Tuesday.","The escalation of trade conflict between the United States and China is ""very worrisome"" for the global outlook and it remains to be seen if it will tip the world economy into recession, Bank of England policymaker Donald Kohn said on Tuesday.","2019-10-15T12:55:11+0000"
"47","U.S. Visa Move Against China Casts Pall Over Talks to End Trade War","U.S. Visa Move Against China Casts Pall Over Talks to End Trade War","https://www.nytimes.com/reuters/2019/10/08/business/08reuters-usa-trade-china.html","The United States on Tuesday imposed visa restrictions on Chinese officials for the detention or abuse of Muslim minorities, angering Beijing, but a U.S. official said high-level trade talks would still take place on Thursday and Friday as planned...","WASHINGTON — The United States on Tuesday imposed visa restrictions on Chinese officials for the detention or abuse of Muslim minorities, angering Beijing, but a U.S. official said high-level trade talks would still take place on Thursday and Friday as planned.","The United States on Tuesday imposed visa restrictions on Chinese officials for the detention or abuse of Muslim minorities, angering Beijing, but a U.S. official said high-level trade talks would still take place on Thursday and Friday as planned.","2019-10-08T06:01:15+0000"
"48","The Week in Business: The China Trade War Clobbers the Markets","With Interest","https://www.nytimes.com/2019/08/03/business/the-week-in-business-interest-rates-china-trade.html","Plus, where should police departments draw the line with facial recognition surveillance?","It’s August, which means most people aren’t paying attention to the news — so you get extra Brownie points when you do. Read up on the top stories in business and tech, and feel superior heading into Monday.","Plus, where should police departments draw the line with facial recognition surveillance?","2019-08-03T20:13:10+0000"
"49","DealBook Briefing: Don’t Bet on the Trade War Ending Quickly",NA,"https://www.nytimes.com/2019/07/29/business/dealbook/us-china-trade-war.html","Officials from the two countries are meeting this week to continue working on a truce. But neither side seems eager for a speedy resolution.","Good Monday. On the agenda: The Fed is expected to cut interest rates this week for the first time since the 2008 financial crisis. (Was this email forwarded to you? Sign up here.)","Officials from the two countries are meeting this week to continue working on a truce. But neither side seems eager for a speedy resolution.","2019-07-29T10:24:02+0000"
"50","DealBook Briefing: The Forever Trade War?",NA,"https://www.nytimes.com/2019/05/15/business/dealbook/trade-war-tariffs.html","Tariffs first looked like a temporary bargaining tool. Now they’re starting to look like the new normal.","Good Wednesday. (Want this by email? Sign up here.)","Tariffs first looked like a temporary bargaining tool. Now they’re starting to look like the new normal.","2019-05-15T10:06:52+0000"
"51","Hong Kong, Trade War, Shootings: Your Tuesday Briefing",NA,"https://www.nytimes.com/2019/08/05/briefing/hong-kong-trade-war-shootings.html","Here’s what you need to know.","(Want to get this briefing by email? Here’s the sign-up.)","Here’s what you need to know.","2019-08-06T03:28:12+0000"
"52","DealBook Briefing: Tariffs Aren’t Offsetting the Trade War Pain",NA,"https://www.nytimes.com/2019/07/16/business/dealbook/tarrifs-trade-war.html","President Trump says his fight with Beijing is hurting China’s economy but generating billions for the U.S. That’s not entirely true.","Good Tuesday. (Want this by email? Sign up here.)","President Trump says his fight with Beijing is hurting China’s economy but generating billions for the U.S. That’s not entirely true.","2019-07-16T10:22:53+0000"
